stat,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment
median,12000,20000.0,11300.0,36.0,19.52,347.15
st_dev,8082.122192479452,8018.939324931674,8099.398851238986,10.719464145680812,4.39284781463592,238.91780923254277
mean,13333.076100385388,13229.50911682024,12952.622979347045,42.60619907398047,13.507328482328484,400.0139534583541
