stat,term,loan_amount,funded_amount,funded_amount_inv,int_rate,instalment,collections_12_mths_ex_med
median,36.0,12000,20000.0,11300.0,19.52,347.15,0.0
st_dev,10.719464145680812,8082.122192479452,8018.939324931674,8099.398851238986,4.39284781463592,238.91780923254277,0.070989490635911
mean,42.60619907398047,13333.076100385388,13229.50911682024,12952.622979347045,13.507328482328484,400.0139534583541,0.004208194905869324
